category,setting,billing_code_type,billing_code,description,charge_type,rate
facility,inpatient,MS-DRG,058,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,case rate,"33,548.3"
facility,inpatient,MS-DRG,059,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,case rate,"22,238.9"
facility,inpatient,MS-DRG,060,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,case rate,"16,220.7"
facility,inpatient,MS-DRG,061,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT IS MCC",case rate,"49,134.6"
facility,inpatient,MS-DRG,062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT IS MCC",case rate,"32,368.7"
facility,inpatient,MS-DRG,063,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT IS MCC",case rate,"25,532.5"
facility,inpatient,MS-DRG,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH M MCC,case rate,"36,154.8"
facility,inpatient,MS-DRG,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH C MCC,case rate,"18,485.5"
facility,inpatient,MS-DRG,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHO MCC,case rate,"12,510.9"
facility,inpatient,MS-DRG,067,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFA MCC,case rate,"26,461.3"
facility,inpatient,MS-DRG,068,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFA MCC,case rate,"16,024.4"
facility,inpatient,MS-DRG,069,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,case rate,"14,544.8"
facility,inpatient,MS-DRG,070,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,case rate,"31,603.4"
facility,inpatient,MS-DRG,071,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,case rate,"19,154.4"
facility,inpatient,MS-DRG,072,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,case rate,"13,634.2"
facility,inpatient,MS-DRG,073,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,case rate,"28,091.7"
facility,inpatient,MS-DRG,074,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,case rate,"18,947.1"
facility,inpatient,MS-DRG,075,VIRAL MENINGITIS WITH CC/MCC,case rate,"31,307.1"
facility,inpatient,MS-DRG,076,VIRAL MENINGITIS WITHOUT CC/MCC,case rate,"16,666.0"
facility,inpatient,MS-DRG,080,NONTRAUMATIC STUPOR AND COMA WITH MCC,case rate,"36,131.2"
facility,inpatient,MS-DRG,081,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,case rate,"16,446.1"
facility,inpatient,MS-DRG,082,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,case rate,"42,171.2"
facility,inpatient,MS-DRG,083,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,case rate,"25,270.7"
facility,inpatient,MS-DRG,084,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,case rate,"17,376.7"
facility,inpatient,MS-DRG,085,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,case rate,"41,186.1"
facility,inpatient,MS-DRG,086,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,case rate,"23,840.3"
facility,inpatient,MS-DRG,087,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,case rate,"16,068.0"
facility,inpatient,MS-DRG,088,CONCUSSION WITH MCC,case rate,"25,639.7"
facility,inpatient,MS-DRG,089,CONCUSSION WITH CC,case rate,"19,487.0"
facility,inpatient,MS-DRG,090,CONCUSSION WITHOUT CC/MCC,case rate,"15,580.9"
facility,inpatient,MS-DRG,091,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,case rate,"33,132.1"
facility,inpatient,MS-DRG,092,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,case rate,"19,245.2"
facility,inpatient,MS-DRG,093,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,case rate,"14,346.7"
facility,inpatient,MS-DRG,094,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTE MCC,case rate,"66,315.0"
facility,inpatient,MS-DRG,095,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTE MCC,case rate,"43,569.0"
facility,inpatient,MS-DRG,096,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTE MCC,case rate,"43,569.0"
facility,inpatient,MS-DRG,097,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL  MCC,case rate,"65,159.0"
facility,inpatient,MS-DRG,098,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL  MCC,case rate,"39,426.6"
facility,inpatient,MS-DRG,099,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL  MCC,case rate,"25,323.5"
facility,inpatient,MS-DRG,100,SEIZURES WITH MCC,case rate,"36,083.9"
facility,inpatient,MS-DRG,101,SEIZURES WITHOUT MCC,case rate,"16,751.4"
facility,inpatient,MS-DRG,102,HEADACHES WITH MCC,case rate,"21,073.8"
facility,inpatient,MS-DRG,103,HEADACHES WITHOUT MCC,case rate,"15,453.6"
facility,inpatient,MS-DRG,113,ORBITAL PROCEDURES WITH CC/MCC,case rate,"41,017.0"
facility,inpatient,MS-DRG,114,ORBITAL PROCEDURES WITHOUT CC/MCC,case rate,"21,486.4"
facility,inpatient,MS-DRG,115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,case rate,"27,826.4"
facility,inpatient,MS-DRG,116,INTRAOCULAR PROCEDURES WITH CC/MCC,case rate,"30,327.4"
facility,inpatient,MS-DRG,117,INTRAOCULAR PROCEDURES WITHOUT CC/MCC,case rate,"19,605.1"
facility,inpatient,MS-DRG,121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,case rate,"21,141.0"
facility,inpatient,MS-DRG,122,ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC,case rate,"12,329.1"
facility,inpatient,MS-DRG,123,NEUROLOGICAL EYE DISORDERS,case rate,"14,599.3"
facility,inpatient,MS-DRG,124,OTHER DISORDERS OF THE EYE WITH MCC OR THROMBOLYTIC A MCC,case rate,"23,698.5"
facility,inpatient,MS-DRG,125,OTHER DISORDERS OF THE EYE WITHOUT MCC,case rate,"15,008.3"
facility,inpatient,MS-DRG,135,SINUS AND MASTOID PROCEDURES WITH CC/MCC,case rate,"43,821.6"
facility,inpatient,MS-DRG,136,SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC,case rate,"17,780.2"
facility,inpatient,MS-DRG,137,MOUTH PROCEDURES WITH CC/MCC,case rate,"25,419.8"
facility,inpatient,MS-DRG,138,MOUTH PROCEDURES WITHOUT CC/MCC,case rate,"14,786.6"
facility,inpatient,MS-DRG,139,SALIVARY GLAND PROCEDURES,case rate,"24,954.5"
facility,inpatient,MS-DRG,140,MAJOR HEAD AND NECK PROCEDURES WITH MCC,case rate,"76,868.3"
facility,inpatient,MS-DRG,141,MAJOR HEAD AND NECK PROCEDURES WITH CC,case rate,"39,048.5"
facility,inpatient,MS-DRG,142,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,case rate,"28,578.9"
facility,inpatient,MS-DRG,143,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH  MCC",case rate,"60,013.2"
facility,inpatient,MS-DRG,144,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH  MCC",case rate,"31,928.8"
facility,inpatient,MS-DRG,145,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH MCC",case rate,"21,533.7"
facility,inpatient,MS-DRG,146,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",case rate,"41,695.0"
facility,inpatient,MS-DRG,147,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC",case rate,"22,624.2"
facility,inpatient,MS-DRG,148,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC",case rate,"14,553.9"
facility,inpatient,MS-DRG,149,DYSEQUILIBRIUM,case rate,"13,586.9"
facility,inpatient,MS-DRG,150,EPISTAXIS WITH MCC,case rate,"25,121.7"
facility,inpatient,MS-DRG,151,EPISTAXIS WITHOUT MCC,case rate,"13,777.8"
facility,inpatient,MS-DRG,152,OTITIS MEDIA AND URI WITH MCC,case rate,"20,624.8"
facility,inpatient,MS-DRG,153,OTITIS MEDIA AND URI WITHOUT MCC,case rate,"12,936.2"
facility,inpatient,MS-DRG,154,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC",case rate,"29,558.6"
facility,inpatient,MS-DRG,155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",case rate,"16,969.5"
facility,inpatient,MS-DRG,156,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT C MCC",case rate,"12,221.9"
facility,inpatient,MS-DRG,157,DENTAL AND ORAL DISEASES WITH MCC,case rate,"29,762.1"
facility,inpatient,MS-DRG,158,DENTAL AND ORAL DISEASES WITH CC,case rate,"17,095.0"
facility,inpatient,MS-DRG,159,DENTAL AND ORAL DISEASES WITHOUT CC/MCC,case rate,"11,989.2"
facility,inpatient,MS-DRG,163,MAJOR CHEST PROCEDURES WITH MCC,case rate,"83,773.5"
facility,inpatient,MS-DRG,164,MAJOR CHEST PROCEDURES WITH CC,case rate,"45,746.5"
facility,inpatient,MS-DRG,165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC,case rate,"33,879.1"
facility,inpatient,MS-DRG,166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,case rate,"69,997.6"
facility,inpatient,MS-DRG,167,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,case rate,"33,210.2"
facility,inpatient,MS-DRG,168,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/M MCC,case rate,"24,607.3"
facility,inpatient,MS-DRG,173,ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS WITH P MCC,case rate,"55,772.7"
facility,inpatient,MS-DRG,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,case rate,"25,612.5"
facility,inpatient,MS-DRG,176,PULMONARY EMBOLISM WITHOUT MCC,case rate,"14,804.7"
facility,inpatient,MS-DRG,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,case rate,"29,382.3"
facility,inpatient,MS-DRG,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,case rate,"18,032.9"
facility,inpatient,MS-DRG,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,case rate,"13,990.4"
facility,inpatient,MS-DRG,180,RESPIRATORY NEOPLASMS WITH MCC,case rate,"31,767.0"
facility,inpatient,MS-DRG,181,RESPIRATORY NEOPLASMS WITH CC,case rate,"20,179.5"
facility,inpatient,MS-DRG,182,RESPIRATORY NEOPLASMS WITHOUT CC/MCC,case rate,"15,222.8"
facility,inpatient,MS-DRG,183,MAJOR CHEST TRAUMA WITH MCC,case rate,"28,849.7"
facility,inpatient,MS-DRG,184,MAJOR CHEST TRAUMA WITH CC,case rate,"19,412.5"
facility,inpatient,MS-DRG,185,MAJOR CHEST TRAUMA WITHOUT CC/MCC,case rate,"14,134.0"
facility,inpatient,MS-DRG,186,PLEURAL EFFUSION WITH MCC,case rate,"28,718.8"
facility,inpatient,MS-DRG,187,PLEURAL EFFUSION WITH CC,case rate,"18,247.4"
facility,inpatient,MS-DRG,188,PLEURAL EFFUSION WITHOUT CC/MCC,case rate,"13,343.3"
facility,inpatient,MS-DRG,189,PULMONARY EDEMA AND RESPIRATORY FAILURE,case rate,"22,493.4"
facility,inpatient,MS-DRG,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,case rate,"20,417.6"
facility,inpatient,MS-DRG,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,case rate,"15,615.4"
facility,inpatient,MS-DRG,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,case rate,"11,763.8"
facility,inpatient,MS-DRG,193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,case rate,"23,952.9"
facility,inpatient,MS-DRG,194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,case rate,"14,904.7"
facility,inpatient,MS-DRG,195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,case rate,"11,320.3"
facility,inpatient,MS-DRG,196,INTERSTITIAL LUNG DISEASE WITH MCC,case rate,"34,248.1"
facility,inpatient,MS-DRG,197,INTERSTITIAL LUNG DISEASE WITH CC,case rate,"17,992.9"
facility,inpatient,MS-DRG,198,INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC,case rate,"12,730.8"
facility,inpatient,MS-DRG,199,PNEUMOTHORAX WITH MCC,case rate,"32,085.1"
facility,inpatient,MS-DRG,200,PNEUMOTHORAX WITH CC,case rate,"20,128.6"
facility,inpatient,MS-DRG,201,PNEUMOTHORAX WITHOUT CC/MCC,case rate,"12,303.7"
facility,inpatient,MS-DRG,202,BRONCHITIS AND ASTHMA WITH CC/MCC,case rate,"17,571.2"
facility,inpatient,MS-DRG,203,BRONCHITIS AND ASTHMA WITHOUT CC/MCC,case rate,"12,656.3"
facility,inpatient,MS-DRG,204,RESPIRATORY SIGNS AND SYMPTOMS,case rate,"14,739.3"
facility,inpatient,MS-DRG,205,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,case rate,"34,311.7"
facility,inpatient,MS-DRG,206,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,case rate,"16,464.2"
facility,inpatient,MS-DRG,207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT > MCC,case rate,"117,559.9"
facility,inpatient,MS-DRG,208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT < MCC,case rate,"48,787.5"
facility,inpatient,MS-DRG,212,CONCOMITANT AORTIC AND MITRAL VALVE PROCEDURES,case rate,"197,998.1"
facility,inpatient,MS-DRG,215,OTHER HEART ASSIST SYSTEM IMPLANT,case rate,"262,594.4"
facility,inpatient,MS-DRG,216,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDU MCC,case rate,"239,200.8"
facility,inpatient,MS-DRG,217,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDU MCC,case rate,"160,057.1"
facility,inpatient,MS-DRG,218,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDU MCC,case rate,"108,133.6"
facility,inpatient,MS-DRG,219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDU MCC,case rate,"191,774.1"
facility,inpatient,MS-DRG,220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDU MCC,case rate,"131,277.4"
facility,inpatient,MS-DRG,221,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDU MCC,case rate,"83,471.8"
facility,inpatient,MS-DRG,228,OTHER CARDIOTHORACIC PROCEDURES WITH MCC,case rate,"123,509.2"
facility,inpatient,MS-DRG,229,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC,case rate,"76,989.7"
facility,inpatient,MS-DRG,231,CORONARY BYPASS WITH PTCA WITH MCC,case rate,"154,016.5"
facility,inpatient,MS-DRG,232,CORONARY BYPASS WITH PTCA WITHOUT MCC,case rate,"111,027.3"
facility,inpatient,MS-DRG,233,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN A MCC,case rate,"193,727.2"
facility,inpatient,MS-DRG,234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN A MCC,case rate,"131,862.3"
facility,inpatient,MS-DRG,235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH  MCC,case rate,"145,839.5"
facility,inpatient,MS-DRG,236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHO MCC,case rate,"101,917.6"
facility,inpatient,MS-DRG,239,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UP MCC,case rate,"124,837.8"
facility,inpatient,MS-DRG,240,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UP MCC,case rate,"52,929.9"
facility,inpatient,MS-DRG,241,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UP MCC,case rate,"27,442.8"
facility,inpatient,MS-DRG,242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,case rate,"61,654.6"
facility,inpatient,MS-DRG,243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,case rate,"55,836.8"
facility,inpatient,MS-DRG,244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,case rate,"44,732.4"
facility,inpatient,MS-DRG,245,AICD GENERATOR PROCEDURES,case rate,"121,119.8"
facility,inpatient,MS-DRG,250,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTR MCC,case rate,"57,324.0"
facility,inpatient,MS-DRG,251,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTR MCC,case rate,"38,729.1"
facility,inpatient,MS-DRG,252,OTHER VASCULAR PROCEDURES WITH MCC,case rate,"85,023.1"
facility,inpatient,MS-DRG,253,OTHER VASCULAR PROCEDURES WITH CC,case rate,"63,277.8"
facility,inpatient,MS-DRG,254,OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,case rate,"31,796.1"
facility,inpatient,MS-DRG,255,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DI MCC,case rate,"47,555.1"
facility,inpatient,MS-DRG,256,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DI MCC,case rate,"30,783.7"
facility,inpatient,MS-DRG,257,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DI MCC,case rate,"16,211.6"
facility,inpatient,MS-DRG,258,CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC,case rate,"50,992.3"
facility,inpatient,MS-DRG,259,CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC,case rate,"31,947.0"
facility,inpatient,MS-DRG,260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT  MCC,case rate,"61,923.6"
facility,inpatient,MS-DRG,261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT  MCC,case rate,"34,488.0"
facility,inpatient,MS-DRG,262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT  MCC,case rate,"27,586.4"
facility,inpatient,MS-DRG,263,VEIN LIGATION AND STRIPPING,case rate,"48,747.5"
facility,inpatient,MS-DRG,264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,case rate,"86,626.7"
facility,inpatient,MS-DRG,265,AICD LEAD PROCEDURES,case rate,"64,833.6"
facility,inpatient,MS-DRG,266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMEN MCC,case rate,"148,481.7"
facility,inpatient,MS-DRG,267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMEN MCC,case rate,"116,606.2"
facility,inpatient,MS-DRG,268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BA MCC,case rate,"165,257.3"
facility,inpatient,MS-DRG,269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BA MCC,case rate,"103,122.2"
facility,inpatient,MS-DRG,270,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,case rate,"127,224.7"
facility,inpatient,MS-DRG,271,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC,case rate,"85,375.0"
facility,inpatient,MS-DRG,272,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC,case rate,"62,016.1"
facility,inpatient,MS-DRG,273,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH  MCC,case rate,"71,070.0"
facility,inpatient,MS-DRG,274,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH MCC,case rate,"77,354.1"
facility,inpatient,MS-DRG,275,CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATI MCC,case rate,"128,444.0"
facility,inpatient,MS-DRG,276,CARDIAC DEFIBRILLATOR IMPLANT WITH MCC OR CAROTID SINUS  MCC,case rate,"112,585.0"
facility,inpatient,MS-DRG,277,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT MCC,case rate,"84,560.6"
facility,inpatient,MS-DRG,278,ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS OF PERI MCC,case rate,"90,935.0"
facility,inpatient,MS-DRG,279,ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS OF PERI MCC,case rate,"58,241.0"
facility,inpatient,MS-DRG,280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",case rate,"40,687.2"
facility,inpatient,MS-DRG,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",case rate,"22,848.3"
facility,inpatient,MS-DRG,282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT C MCC",case rate,"17,972.8"
facility,inpatient,MS-DRG,283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",case rate,"35,542.3"
facility,inpatient,MS-DRG,284,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC",case rate,"13,466.9"
facility,inpatient,MS-DRG,285,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC",case rate,"10,202.5"
facility,inpatient,MS-DRG,286,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETE MCC",case rate,"54,860.2"
